,subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,duration_s,,,,,,,,,,,
,4,Safari,26.3,1440,900,MacOS,en-GB,2026-04-13_15:38:21,2026-04-13_16:38:21,2026-04-11_14:55:47,https://www.testable.org/experiment/20526/508491/start,1,1345,216.193,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
id,rowNo,type,condition1,stim1,textColor,stimFormat,subjectGroup,keyboard,key,ITI,presTime,stimOptions,random,trialText,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,stimOrder_actual,correct
1345,3,test,practise,beach,green,word,,a l,l,1200,3000,,,A = BLUE\nL = GREEN,1200,72,16.67,1013,60,16.68,132504,a,1005,,0
1345,4,test,practise,dog,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,1819,109,16.65,135111,a,1815,,1
1345,5,test,practise,plage,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,801,48,16.69,1123,67,16.67,137031,a,1118,,1
1345,6,test,practise,chien,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,860,51,16.65,138684,l,855,,1
1345,7,test,practise,maison,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,1132,67,16.67,140605,l,1127,,1
1345,8,test,practise,house,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,609,36,16.67,142000,a,605,,1
1345,9,test,practise,chaise,blue,word,,a l,a,800,3000,,,A = BLUE\nL = GREEN,799,48,16.65,520,31,16.68,143309,a,514,,1
1345,10,test,practise,chair,green,word,,a l,l,800,3000,,,A = BLUE\nL = GREEN,800,48,16.67,391,23,16.7,144498,l,388,,1
1345,109,test,neutral_eng,boom,blue,word,nsg:4,a l,a,800,1700,random,1,,801,48,16.69,703,42,16.67,159494,a,695,word1,1
